Timeslice,Hour,Month,Daysplit,Demand fuel,startyear,endyear,timesliceDN,timesliceDE,timesliceED,timesliceEN,timesliceNE,timesliceND,region,Tech,renewable ninjafile
,,,,EL3_280_1,,,,,,,,,,,
,,,,EL3_281_0,,,,,,,,,,,
,,,,EL3_281_1,,,,,,,,,,,
,,,,EL3_282_0,,,,,,,,,,,
,,,,EL3_282_1,,,,,,,,,,,
,,,,EL3_283_0,,,,,,,,,,,
,,,,EL3_283_1,,,,,,,,,,,
,,,,EL3_284_0,,,,,,,,,,,
,,,,EL3_284_1,,,,,,,,,,,
,,,,EL3_285_0,,,,,,,,,,,
,,,,EL3_285_1,,,,,,,,,,,
,,,,EL3_286_0,,,,,,,,,,,
,,,,EL3_286_1,,,,,,,,,,,
,,,,EL3_287_0,,,,,,,,,,,
,,,,EL3_287_1,,,,,,,,,,,
,,,,EL3_288_0,,,,,,,,,,,
,,,,EL3_288_1,,,,,,,,,,,
,,,,EL3_289_0,,,,,,,,,,,
,,,,EL3_290_0,,,,,,,,,,,
,,,,EL3_291_0,,,,,,,,,,,
,,,,EL3_291_1,,,,,,,,,,,
,,,,EL3_292_0,,,,,,,,,,,
,,,,EL3_292_1,,,,,,,,,,,
,,,,EL3_293_0,,,,,,,,,,,
,,,,EL3_294_0,,,,,,,,,,,
,,,,EL3_295_0,,,,,,,,,,,
,,,,EL3_296_0,,,,,,,,,,,
,,,,EL3_297_0,,,,,,,,,,,
,,,,EL3_297_1,,,,,,,,,,,
,,,,EL3_298_0,,,,,,,,,,,
,,,,EL3_298_1,,,,,,,,,,,
,,,,EL3_299_0,,,,,,,,,,,
,,,,EL3_299_1,,,,,,,,,,,
,,,,EL3_300_0,,,,,,,,,,,
,,,,EL3_300_1,,,,,,,,,,,
,,,,EL3_301_0,,,,,,,,,,,
,,,,EL3_301_1,,,,,,,,,,,
,,,,EL3_302_0,,,,,,,,,,,
,,,,EL3_302_1,,,,,,,,,,,
,,,,EL3_303_0,,,,,,,,,,,
,,,,EL3_303_1,,,,,,,,,,,
,,,,EL3_304_0,,,,,,,,,,,
,,,,EL3_304_1,,,,,,,,,,,
,,,,EL3_305_0,,,,,,,,,,,
,,,,EL3_305_1,,,,,,,,,,,
,,,,EL3_306_0,,,,,,,,,,,
,,,,EL3_307_0,,,,,,,,,,,
,,,,EL3_308_0,,,,,,,,,,,
,,,,EL3_309_0,,,,,,,,,,,
,,,,EL3_310_0,,,,,,,,,,,
,,,,EL3_310_1,,,,,,,,,,,
,,,,EL3_311_0,,,,,,,,,,,
,,,,EL3_312_0,,,,,,,,,,,
,,,,EL3_313_0,,,,,,,,,,,
,,,,EL3_314_0,,,,,,,,,,,
,,,,EL3_314_1,,,,,,,,,,,
,,,,EL3_315_0,,,,,,,,,,,
,,,,EL3_315_1,,,,,,,,,,,
,,,,EL3_316_0,,,,,,,,,,,
,,,,EL3_316_1,,,,,,,,,,,
,,,,EL3_317_0,,,,,,,,,,,
,,,,EL3_317_1,,,,,,,,,,,
,,,,EL3_318_0,,,,,,,,,,,
,,,,EL3_318_1,,,,,,,,,,,
,,,,EL3_319_0,,,,,,,,,,,
,,,,EL3_319_1,,,,,,,,,,,
,,,,EL3_320_0,,,,,,,,,,,
,,,,EL3_320_1,,,,,,,,,,,
,,,,EL3_321_0,,,,,,,,,,,
,,,,EL3_321_1,,,,,,,,,,,
,,,,EL3_322_0,,,,,,,,,,,
,,,,EL3_322_1,,,,,,,,,,,
,,,,EL3_323_0,,,,,,,,,,,
,,,,EL3_324_0,,,,,,,,,,,
,,,,EL3_325_0,,,,,,,,,,,
,,,,EL3_326_0,,,,,,,,,,,
,,,,EL3_327_0,,,,,,,,,,,
,,,,EL3_327_1,,,,,,,,,,,
,,,,EL3_328_0,,,,,,,,,,,
,,,,EL3_329_0,,,,,,,,,,,
,,,,EL3_330_0,,,,,,,,,,,
,,,,EL3_330_1,,,,,,,,,,,
,,,,EL3_331_0,,,,,,,,,,,
,,,,EL3_331_1,,,,,,,,,,,
,,,,EL3_332_0,,,,,,,,,,,
,,,,EL3_332_1,,,,,,,,,,,
,,,,EL3_333_0,,,,,,,,,,,
,,,,EL3_333_1,,,,,,,,,,,
,,,,EL3_334_0,,,,,,,,,,,
,,,,EL3_334_1,,,,,,,,,,,
,,,,EL3_335_0,,,,,,,,,,,
,,,,EL3_335_1,,,,,,,,,,,
,,,,EL3_336_0,,,,,,,,,,,
,,,,EL3_336_1,,,,,,,,,,,
,,,,EL3_338_0,,,,,,,,,,,
